element	element-content-type	element-content	attribute	attribute-content
TEI	elements	|teiHeader||text|		
teiHeader	elements	|encodingDesc||fileDesc||profileDesc|	type	text
fileDesc	elements	|publicationStmt||sourceDesc||titleStmt|		
titleStmt	elements	|title|		
title	text	Dedication to Zeus		
publicationStmt	elements	|authority||idno||idno||idno|		
authority	text	APIS		
idno	text	berenike.apis.119	type	apisid
idno	text	(EG-Ber)119	type	controlNo
idno	text	o.berenike.2.119	type	ddbdp
sourceDesc	elements	|msDesc|	default	false
msDesc	elements	|history||msContents||msIdentifier||physDesc|		
msIdentifier	elements	|idno|		
idno	text	Inv. BE00 4710-U-119, 37.026	type	invNo
msContents	elements	|msItemStruct||summary|	defective	false
summary	text	Inscribed dedication to Zeus.		
msItemStruct	elements	|note||note||note||note||note||note||textLang|	defective	false
note	text	12 lines of text.	type	general
note	text	12 lines of text.	anchored	true
note	text	Dedication to Zeus by Philotera, daughter of Patentais.	type	general
note	text	Dedication to Zeus by Philotera, daughter of Patentais.	anchored	true
note	text	This inscription appears to be the rough copy of a text, the final version of which was found in the same trench (O.Ber. II 118).	type	general
note	text	This inscription appears to be the rough copy of a text, the final version of which was found in the same trench (O.Ber. II 118).	anchored	true
note	text	FREE TEXT	type	general
note	text	FREE TEXT	anchored	true
note	text	FREE TEXT	type	general
note	text	FREE TEXT	anchored	true
note	text	This block and its companion were reused in a wall of a substantial structure from the late fourth to fifth cent. A.D.	type	general
note	text	This block and its companion were reused in a wall of a substantial structure from the late fourth to fifth cent. A.D.	anchored	true
textLang	text	Greek	mainLang	grc
physDesc	elements	|objectDesc|		
objectDesc	elements	|supportDesc|		
supportDesc	elements	|support|		
support	text	1 inscribed block (type of stone not recorded), 0.225 m x 0.165-0.175 m x 0.12 m.		
history	elements	|origin||provenance|		
origin	elements	|origDate||origPlace|	instant	false
origDate	text	A.D. 54 - 68	notBefore	0054
origDate	text	A.D. 54 - 68	notAfter	0068
origDate	text	A.D. 54 - 68	instant	false
origPlace	text	This document was discovered reused in a substantial structure of the fourth or fifth cent. A.D. in the eastern part of the site.	instant	false
provenance	elements	|p|		
p	text	This inscription is currently stored in a magazine of the Supreme Council of Antiquities in Quft.		
encodingDesc	elements	|classDecl|		
classDecl	elements	|taxonomy|		
taxonomy	elements	|desc|	id	apis
desc	text	APIS keywords are controlled locally at the institution level. They are not necessarily consistent.		
profileDesc	elements	|langUsage||textClass|		
langUsage	elements	|language||language|	default	false
language	text	English	ident	en
language	text	Greek	ident	grc
textClass	elements	|keywords|	default	false
keywords	elements	|term||term||term||term|	scheme	#apis
term	text	Inscriptions	type	genre_form
term	text	Dedication	type	genre_form
term	text	Damnatio	type	genre_form
term	text	Stone-cutting	type	genre_form
text	elements	|body|		
body	elements	|div||div|		
div	elements	|ab|	type	translation
div	elements	|ab|	org	uniform
div	elements	|ab|	sample	complete
div	elements	|ab|	part	N
ab	text	FREE TEXT	part	N
div	elements	|listBibl|	type	bibliography
div	elements	|listBibl|	subtype	citations
div	elements	|listBibl|	org	uniform
div	elements	|listBibl|	sample	complete
div	elements	|listBibl|	part	N
listBibl	elements	|bibl||bibl|	default	false
bibl	text	O.Ber. II 119	default	false
bibl	text	O.Berenike:2:119	type	ddbdp
bibl	text	O.Berenike:2:119	default	false
teiHeader	elements	|encodingDesc||fileDesc||profileDesc|	type	text
fileDesc	elements	|publicationStmt||sourceDesc||titleStmt|		
titleStmt	elements	|title|		
title	text	Dedication to Zeus		
publicationStmt	elements	|authority||idno||idno||idno|		
authority	text	APIS		
idno	text	berenike.apis.119	type	apisid
idno	text	(EG-Ber)119	type	controlNo
idno	text	o.berenike.2.119	type	ddbdp
sourceDesc	elements	|msDesc|	default	false
msDesc	elements	|history||msContents||msIdentifier||physDesc|		
msIdentifier	elements	|idno|		
idno	text	Inv. BE00 4710-U-119, 37.026	type	invNo
msContents	elements	|msItemStruct||summary|	defective	false
summary	text	Inscribed dedication to Zeus.		
msItemStruct	elements	|note||note||note||note||note||note||textLang|	defective	false
note	text	12 lines of text.	type	general
note	text	12 lines of text.	anchored	true
note	text	Dedication to Zeus by Philotera, daughter of Patentais.	type	general
note	text	Dedication to Zeus by Philotera, daughter of Patentais.	anchored	true
note	text	This inscription appears to be the rough copy of a text, the final version of which was found in the same trench (O.Ber. II 118).	type	general
note	text	This inscription appears to be the rough copy of a text, the final version of which was found in the same trench (O.Ber. II 118).	anchored	true
note	text	FREE TEXT	type	general
note	text	FREE TEXT	anchored	true
note	text	FREE TEXT	type	general
note	text	FREE TEXT	anchored	true
note	text	This block and its companion were reused in a wall of a substantial structure from the late fourth to fifth cent. A.D.	type	general
note	text	This block and its companion were reused in a wall of a substantial structure from the late fourth to fifth cent. A.D.	anchored	true
textLang	text	Greek	mainLang	grc
physDesc	elements	|objectDesc|		
objectDesc	elements	|supportDesc|		
supportDesc	elements	|support|		
support	text	1 inscribed block (type of stone not recorded), 0.225 m x 0.165-0.175 m x 0.12 m.		
history	elements	|origin||provenance|		
origin	elements	|origDate||origPlace|	instant	false
origDate	text	A.D. 54 - 68	notBefore	0054
origDate	text	A.D. 54 - 68	notAfter	0068
origDate	text	A.D. 54 - 68	instant	false
origPlace	text	This document was discovered reused in a substantial structure of the fourth or fifth cent. A.D. in the eastern part of the site.	instant	false
provenance	elements	|p|		
p	text	This inscription is currently stored in a magazine of the Supreme Council of Antiquities in Quft.		
encodingDesc	elements	|classDecl|		
classDecl	elements	|taxonomy|		
taxonomy	elements	|desc|	id	apis
desc	text	APIS keywords are controlled locally at the institution level. They are not necessarily consistent.		
profileDesc	elements	|langUsage||textClass|		
langUsage	elements	|language||language|	default	false
language	text	English	ident	en
language	text	Greek	ident	grc
textClass	elements	|keywords|	default	false
keywords	elements	|term||term||term||term|	scheme	#apis
term	text	Inscriptions	type	genre_form
term	text	Dedication	type	genre_form
term	text	Damnatio	type	genre_form
term	text	Stone-cutting	type	genre_form
fileDesc	elements	|publicationStmt||sourceDesc||titleStmt|		
titleStmt	elements	|title|		
title	text	Dedication to Zeus		
publicationStmt	elements	|authority||idno||idno||idno|		
authority	text	APIS		
idno	text	berenike.apis.119	type	apisid
idno	text	(EG-Ber)119	type	controlNo
idno	text	o.berenike.2.119	type	ddbdp
sourceDesc	elements	|msDesc|	default	false
msDesc	elements	|history||msContents||msIdentifier||physDesc|		
msIdentifier	elements	|idno|		
idno	text	Inv. BE00 4710-U-119, 37.026	type	invNo
msContents	elements	|msItemStruct||summary|	defective	false
summary	text	Inscribed dedication to Zeus.		
msItemStruct	elements	|note||note||note||note||note||note||textLang|	defective	false
note	text	12 lines of text.	type	general
note	text	12 lines of text.	anchored	true
note	text	Dedication to Zeus by Philotera, daughter of Patentais.	type	general
note	text	Dedication to Zeus by Philotera, daughter of Patentais.	anchored	true
note	text	This inscription appears to be the rough copy of a text, the final version of which was found in the same trench (O.Ber. II 118).	type	general
note	text	This inscription appears to be the rough copy of a text, the final version of which was found in the same trench (O.Ber. II 118).	anchored	true
note	text	FREE TEXT	type	general
note	text	FREE TEXT	anchored	true
note	text	FREE TEXT	type	general
note	text	FREE TEXT	anchored	true
note	text	This block and its companion were reused in a wall of a substantial structure from the late fourth to fifth cent. A.D.	type	general
note	text	This block and its companion were reused in a wall of a substantial structure from the late fourth to fifth cent. A.D.	anchored	true
textLang	text	Greek	mainLang	grc
physDesc	elements	|objectDesc|		
objectDesc	elements	|supportDesc|		
supportDesc	elements	|support|		
support	text	1 inscribed block (type of stone not recorded), 0.225 m x 0.165-0.175 m x 0.12 m.		
history	elements	|origin||provenance|		
origin	elements	|origDate||origPlace|	instant	false
origDate	text	A.D. 54 - 68	notBefore	0054
origDate	text	A.D. 54 - 68	notAfter	0068
origDate	text	A.D. 54 - 68	instant	false
origPlace	text	This document was discovered reused in a substantial structure of the fourth or fifth cent. A.D. in the eastern part of the site.	instant	false
provenance	elements	|p|		
p	text	This inscription is currently stored in a magazine of the Supreme Council of Antiquities in Quft.		
titleStmt	elements	|title|		
title	text	Dedication to Zeus		
title	text	Dedication to Zeus		
publicationStmt	elements	|authority||idno||idno||idno|		
authority	text	APIS		
